id,result
1,0
2,4
3,2
4,1
5,0
6,3
7,2
8,4
9,3
10,1
11,0
12,4
13,2
14,3
15,2
16,3
17,4
18,0
19,4
20,1
21,2
22,4
23,3
24,0
25,2
26,2
27,1
28,2
29,2
30,2
31,0
32,1
33,1
34,4
35,4
36,0
37,2
38,4
39,2
40,2
41,0
42,3
43,1
44,0
45,1
46,2
47,1
48,3
49,4
50,2
51,0
52,3
53,1
54,2
55,3
56,2
57,0
58,1
59,0
60,1
61,2
62,1
63,1
64,2
65,1
66,4
67,2
68,2
69,1
70,4
71,1
72,4
73,4
74,3
75,2
76,1
77,0
78,1
79,2
80,3
81,3
82,1
83,4
84,1
85,1
86,2
87,0
88,2
89,1
90,1
91,3
92,1
93,1
94,3
95,1
96,3
97,2
98,0
99,2
100,0
101,2
102,1
103,1
104,4
105,2
106,2
107,3
108,2
109,0
110,0
111,2
112,2
113,1
114,2
115,2
116,2
117,1
118,4
119,4
120,0
121,4
122,1
123,4
124,2
125,3
126,4
127,2
128,1
129,1
130,4
131,3
132,3
133,1
134,3
135,0
136,2
137,4
138,2
139,2
140,4
141,2
142,4
143,1
144,4
145,2
146,3
147,2
148,2
149,2
150,3
151,3
152,4
153,2
154,2
155,4
156,2
157,1
158,1
159,1
160,2
161,2
162,1
163,4
164,4
165,1
166,3
167,1
168,3
169,0
170,1
171,3
172,2
173,2
174,2
175,0
176,0
177,2
178,4
179,0
180,3
181,4
182,0
183,4
184,1
185,2
186,3
187,4
188,2
189,3
190,1
191,2
192,3
193,3
194,0
195,0
196,4
197,1
198,2
199,3
200,2
201,4
202,4
203,0
204,4
205,4
206,0
207,1
208,2
209,1
210,4
211,3
212,1
213,3
214,0
215,1
216,4
217,1
218,2
219,4
220,4
221,2
222,4
223,3
224,3
225,4
226,2
227,4
228,2
229,2
230,0
231,3
232,1
233,0
234,1
235,4
236,4
237,2
238,3
239,1
240,4
241,0
242,3
243,1
244,3
245,4
246,2
247,0
248,1
249,3
250,4
251,1
252,2
253,2
254,0
255,2
256,1
257,2
258,0
259,2
260,0
261,3
262,1
263,1
264,0
265,3
266,3
267,3
268,0
269,3
270,1
271,3
272,2
273,0
274,2
275,0
276,0
277,0
278,1
279,1
280,2
281,2
282,4
283,1
284,2
285,0
286,0
287,2
288,0
289,2
290,4
291,4
292,0
293,1
294,3
295,2
296,1
297,1
298,1
299,3
300,2
301,2
302,3
303,2
304,2
305,2
306,2
307,2
308,2
309,0
310,4
311,0
312,3
313,2
314,2
315,2
316,2
317,4
318,2
319,2
320,2
321,3
322,1
323,1
324,4
325,3
326,3
327,0
328,0
329,2
330,3
331,0
332,4
333,2
334,0
335,0
336,1
337,4
338,4
339,3
340,4
341,4
342,2
343,1
344,1
345,2
346,3
347,2
348,4
349,1
350,0
351,4
352,1
353,0
354,3
355,0
356,0
357,3
358,0
359,2
360,2
361,4
362,0
363,3
364,4
365,4
366,2
367,3
368,2
369,2
370,2
371,2
372,4
373,4
374,4
375,3
376,3
377,0
378,4
379,0
380,3
381,3
382,0
383,2
384,4
385,0
386,3
387,1
388,2
389,2
390,2
391,0
392,3
393,2
394,4
395,1
396,4
397,3
398,4
399,2
400,0
401,2
402,0
403,0
404,3
405,0
406,3
407,2
408,2
409,2
410,4
411,4
412,0
413,2
414,2
415,3
416,1
417,0
418,0
419,1
420,3
421,2
422,3
423,3
424,2
425,1
426,2
427,0
428,2
429,4
430,3
431,2
432,4
433,1
434,3
435,1
436,4
437,4
438,0
439,2
440,3
441,1
442,1
443,1
444,2
445,4
446,3
447,1
448,1
449,2
450,0
451,2
452,2
453,3
454,1
455,1
456,4
457,0
458,0
459,0
460,1
461,1
462,3
463,4
464,2
465,2
466,0
467,4
468,4
469,2
470,0
471,2
472,2
473,4
